Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
H700LCAC0001,ALICATE CAIMAN TIPO C,UN,0.0,5.0,5.0,12422.32,62112.0
H700LL24IN28,LLAVE STILLSON 24in,UN,1.0,0.0,1.0,1000.0,1000.0
H700LLCU1T34,ADAPTADOR IMPACTO 1/2 X 3/4-CUADRANTE REDUCTOR,UN,4.0,0.0,4.0,4950.0,19800.0
H700LLCU3T12,ADAPTADOR IMPACTO 3/4 X1/2-CUADRANTE REDUCTOR,UN,5.0,0.0,5.0,5500.0,27500.0
H700MN000003, ENGRASADOR  MANUAL 15 KG,UN,1.0,0.0,1.0,6214.29,6214.0
H700MN000016,CHISPERO DE COPA,UN,0.0,1.0,1.0,1764.46,1764.0
H700MN000045,DADO 2¨¨,UN,0.0,1.0,1.0,1650.0,1650.0
H700MN000048,DADO 32 MM,UN,1.0,0.0,1.0,2540.0,2540.0
H700MN000049,DADO 22 MM,UN,7.0,0.0,7.0,1630.0,11410.0
H700MN000051,DADO 25 MM,UN,0.0,4.0,4.0,11990.0,47960.0
H700MN000057,DADO 10MM,UN,0.0,2.0,2.0,2605.0,5210.0
H700MN000059,DADO 15/16,UN,1.0,0.0,1.0,2650.0,2650.0
H700MNN00030, ENGRASADOR  MANUAL 300 GR/ACEITADORA,UN,3.0,0.0,3.0,1095.0,3285.0
H700MNN00050, ENGRASADOR  MANUAL 500 GR/ACEITADORA,UN,3.0,0.0,3.0,2250.0,6750.0
H700MNNNNN01,DADO MAGNETICO,UN,0.0,4.0,4.0,1824.0,7296.0
H700MNPHIL05,ATONILLADOR PUNTA PHILLIPS CROSSMANN Nº2,UN,0.0,17.0,17.0,605.0,10285.0
H700MP000002,MARTILLO CARPINTERO,UN,4.0,4.0,8.0,31.8,254.0
H700MP000003,MARTILLO PEÑA,UN,1.0,0.0,1.0,7084.03,7084.0
H700MP000015,TENSOR ZUNCHO METALICO 1/2,UN,0.0,5.0,5.0,22974.8,114874.0
H700MP000016,COMBO,UN,0.0,1.0,1.0,292.14,292.0
H700MPLIOI08,CHUZO,UN,0.0,1.0,1.0,9135.0,9135.0
H700MPNN0001,CINCEL,UN,0.0,13.0,13.0,51.32,667.0
H700MPTACT10,MARTILLO GOMA MANGO F/VIDRIO 45 MM,UN,0.0,7.0,7.0,8086.0,56602.0
H700OTAIMT07,TENSOR TUBULAR ACERO INOXIDABLE 316L 3/4in,UN,0.0,21.0,21.0,13590.0,285390.0
H8000TYRK00,ESPATULA YORK 100MM,UN,0.0,10.0,10.0,1190.0,11900.0
H800NIALUM24,NIVEL ALUMINIO 24¨,UN,0.0,4.0,4.0,9349.61,37398.0
H800NIALUM48,NIVEL ALUMINIO 48¨,UN,0.0,3.0,3.0,14903.13,44709.0
