Cod. Producto,Producto,Stock Total - STOCK SUCURSAL LA CHIMBA,Stock Total - TERRENO,Disponible - STOCK SUCURSAL LA CHIMBA,Disponible - TERRENO,Stock Total Consolidado
IAO130NNNN00,CINTA ADHESIVA ENMASCARAR,0.0,5.0,0.0,5.0,5.0
IAO32000AA00,PILA DOBLE AA,1.0,0.0,1.0,0.0,1.0
IAO3200AAA00,PILA TRIPLE AAA,4.0,0.0,4.0,0.0,4.0
IAO370CART02,RESMA DE PAPEL CARTA BLANCO,10.0,0.0,10.0,0.0,10.0
IAO370OBAN02,BANDEJA PORTADOCUMENTO 3 NIVELESO,1.0,0.0,1.0,0.0,1.0
IAO370OGUN02,GUILLOTINA 8X8GS,1.0,0.0,1.0,0.0,1.0
IAO400CART00,SEPARADOR TAMAÑO CARTA,2500.0,0.0,2500.0,0.0,2500.0
IAZ32008NNMA,REMACHE TIPO POP 3.2X8MM,3.0,0.0,3.0,0.0,3.0
IAZABRAZACEI,ABRAZADERA DE ACERO INOX,3.0,0.0,3.0,0.0,3.0
IBQ1394MSC00,GRATA PLANA ONDULADA CON VASTAGO ACERO CARBONO 4 1/2 in,181.0,0.0,181.0,0.0,181.0
IBQ22002NN00,BOQUILLA OXICORTE MANUAL N°2,13.0,0.0,13.0,0.0,13.0
IBQ22003NN00,BOQUILLA OXICORTE MANUAL N°3,20.0,0.0,20.0,0.0,20.0
IBQ22004NN00,BOQUILLA OXICORTE MANUAL N°4,19.0,0.0,19.0,0.0,19.0
IBQ22005NN00,BOQUILLA OXICORTE MANUAL N°5,15.0,0.0,15.0,0.0,15.0
IBQ23016NN00,BOQUILLA MIG 1.6 MM,296.0,0.0,296.0,0.0,296.0
IBQ24016NNCI,TOBERA MIG 16 MM TWECO  - 2362,486.0,0.0,486.0,0.0,486.0
IBQ25016NN00,BOQUILLA PISTOLA MIG 1.6,86.0,0.0,86.0,0.0,86.0
IBR70111SC00,BROCA ANULAR 11 MM,9.0,0.0,9.0,0.0,9.0
IBR70114SC00,BROCA ANULAR 14 MM,2.0,0.0,2.0,0.0,2.0
IBR70116SC00,BROCA ANULAR 16 MM,5.0,0.0,5.0,0.0,5.0
IBR70117SCMK,BROCA ANULAR 17 MM,6.0,0.0,6.0,0.0,6.0
IBR70118SCMK,BROCA ANULAR 18 MM,6.0,0.0,6.0,0.0,6.0
IBR70119SC00,BROCA ANULAR 19 MM,7.0,0.0,7.0,0.0,7.0
IBR70120SC00,BROCA ANULAR 20 MM,8.0,0.0,8.0,0.0,8.0
IBR70121SC00,BROCA ANULAR 21 MM,7.0,0.0,7.0,0.0,7.0
IBR70122SCMK,BROCA ANULAR 22 MM,6.0,0.0,6.0,0.0,6.0
IBR70125SCMW,BROCA ANULAR 25 MM,1.0,0.0,1.0,0.0,1.0
IBR70126SCMK,BROCA ANULAR 26 MM,7.0,0.0,7.0,0.0,7.0
IBR70127SCMK,BROCA ANULAR 27 MM,3.0,0.0,3.0,0.0,3.0
IBR70129SCMK,BROCA ANULAR 29 MM,6.0,0.0,6.0,0.0,6.0
IBR70130SCMK,BROCA ANULAR 30 MM,1.0,0.0,1.0,0.0,1.0
IBR70132SCMK,BROCA ANULAR 32 MM,2.0,0.0,2.0,0.0,2.0
IBR70140SC00,BROCA ANULAR 40 MM,4.0,0.0,4.0,0.0,4.0
IBR70150SCMK,BROCA ANULAR 50 MM,3.0,0.0,3.0,0.0,3.0
IBR7071200MK,BROCA SDS PLUS 12 MM ,4.0,0.0,4.0,0.0,4.0
IBR71004SS00,BROCA CILINDRICA COBALTO 04 MM,15.0,0.0,15.0,0.0,15.0
IBR71005SS00,BROCA CILINDRICA COBALTO 05 MM,15.0,0.0,15.0,0.0,15.0
IBR71006SS00,BROCA CILINDRICA COBALTO 06 MM,11.0,0.0,11.0,0.0,11.0
IBR71012NN00,BROCA SDS CONCRETO 12MM (HORMIGON),12.0,0.0,12.0,0.0,12.0
IBR71014SSDR,BROCA CILINDRICA COBALTO 14 MM,13.0,0.0,13.0,0.0,13.0
IBR71019SC00,BROCA CILINDRICA HSS 19 MM,2.0,0.0,2.0,0.0,2.0
IBR71516SCMK,BROCA PALETA MADERA 16 MM,2.0,0.0,2.0,0.0,2.0
IBR71600NN00,BROCA FIERRO,13.0,0.0,13.0,0.0,13.0
ICP16600NN00,CONECTOR ANTENA,50.0,0.0,50.0,0.0,50.0
IEL020383205,ENCHUFE MACHO VOLANTE IND. 380 V  32A 3P+T+N,7.0,0.0,7.0,0.0,7.0
IEL040383205,ENCHUFE HEMBRA IND. S/P 380 V  32A 3P+T+N,26.0,0.0,26.0,0.0,26.0
IEL132T836WN,TUBO FLUO T8 36W/540 G13 LUZ DIA,2.0,0.0,2.0,0.0,2.0
IEL13912MT00,BOQUILLA GALV B.C. 1 1/2,503.0,0.0,503.0,0.0,503.0
IEL261CAD115,CARGA CADWELD 115,21.0,0.0,21.0,0.0,21.0
IEL320380V00,TOMA S/P 32A. 3P + 380V. IP-44 PCE,5.0,0.0,5.0,0.0,5.0
IEL3312216LG,ENCHUFE HEMBRA VOLANTE 220 V  16A 2P+T,69.0,0.0,69.0,0.0,69.0
IEL3322216LG,ENCHUFE MACHO VOLANTE  220 V  16A 2P+T,113.0,0.0,113.0,0.0,113.0
IEL3353832LG,ENCHUFE HEMBRA VOLANTE 380 V  32A 3P+T,58.0,0.0,58.0,0.0,58.0
IEL463TIEBT5,CONJUNTO PUESTA A TIERRA DE BT,4.0,0.0,4.0,0.0,4.0
IEL4783X16AH,ENCHUFE HEMBRA 3 X 16A,215.0,0.0,215.0,0.0,215.0
IEM540CINTRB,CINTA EMBALAJE TRANSPARENTE,71.0,0.0,71.0,0.0,71.0
IEM55042MD00,MADERA DIMENSIONADO VERDE 4 X2 X 3200,100.0,0.0,100.0,0.0,100.0
IEM56003SCNN,CLAVO 3'',3.0,0.0,3.0,0.0,3.0
IEM56004NN00,CLAVO 4 PLG,50.0,0.0,50.0,0.0,50.0
IEM56004SCNN,CLAVO 4'',2.0,0.0,2.0,0.0,2.0
IEM56006NN00,CLAVO 6 PLG,2.0,0.0,2.0,0.0,2.0
