Cod. Producto,Producto,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock - TERRENO,Stock Total Consolidado
H800OT000108,LIMA REDONDA,0.0,1.0,0.0,1.0
H800OTGO3M76,CINTA AUTOFUNDENTE DE GOMA 3M,5.0,0.0,0.0,5.0
H800OTHALO02,FOCO HALOG. C/ATRIL DOBLE 500W,7.0,0.0,0.0,7.0
H800OTHERR83,BOLSO PORTA HERRAMIENTAS,2.0,0.0,0.0,2.0
H800OTLIJA83,LIJA AGUA,230.0,6.0,0.0,236.0
H800OTMANG56,MANGO PARA ESCOBILLONES,0.0,10.0,0.0,10.0
H800OTPLA104,PLATACHO MADERA,2.0,0.0,0.0,2.0
H800OTPLNN50,PALANQUETA 18IN/PATA CABRA-DIABLO,2.0,0.0,0.0,2.0
H800OTRENN49,ACOPLE DE REMOLQUE,1.0,0.0,0.0,1.0
H800OTSICANN,SISTEMA DE CARRO PARA PORTONES,4.0,0.0,0.0,4.0
H800OTSNR031,"CHUMACERA UCF 208, SNR",0.0,7.0,0.0,7.0
H800OTSTAN46,STANLEY PRENSA CARPINTERA 6 PULGADAS,0.0,2.0,0.0,2.0
H800OTSTAN47,STANLEY PRENSA CARPINTERA 8 PULGADAS,0.0,10.0,0.0,10.0
H800OTSTAN50,PRENSA CARPINTERA 10 PULGADAS,0.0,2.0,0.0,2.0
H800OTSU3M75,CINTA AISLADORA ELECTRICA 3M,9.0,0.0,0.0,9.0
H800OTTR47NN,TRIPOIDE DE MADERA,3.0,0.0,0.0,3.0
H800OTVANN48,VALVULA AMORTIGUADOR DE GOLPE DE ARIETE 3/4,1.0,0.0,0.0,1.0
H800OTYORK44,ESPATULA YORK 140MM,0.0,20.0,0.0,20.0
H800RIELDUCA,RIEL DUCASSE COLG U 100 I 300 3 MTS,4.0,0.0,0.0,4.0
IAB11007SS00,DISCO DE CORTE FINO  07in   ESPESOR 1.6 MM,23.0,953.0,0.0,976.0
IAB11009MT00,DISCO DE CORTE FINO  09in   ESPESOR 3 MM,0.0,50.0,0.0,50.0
IAB1104MSS00,DISCO CORTE FINO  04 1/2in  ESPESOR 01 MM,0.0,1072.0,0.0,1072.0
IAB12007SS00,DISCO CORTE NORMAL 07in ESPESOR 03MM,55.0,0.0,0.0,55.0
IAB12014SS00,DISCO CORTE NORMAL  14 in    ESPESOR 3mm,0.0,14.0,0.0,14.0
IAB1204MSS00,"DISCO CORTE NORMAL  04 1/2in    ESPESOR 2,5 MM",0.0,250.0,0.0,250.0
IAB13007SS00,DISCO DESBASTE 07in,52.0,363.0,0.0,415.0
IAB1304MSS00,DISCO DESBASTE 04 1/2in,1.0,160.0,0.0,161.0
IAB1404MHIHL,GRATA HISOPO  INOXIDABLE 26 MM,8.0,5.0,0.0,13.0
IAB1404MSSFA,GRATA PLANA TRENZADA  ACERO INOXIDABLE 4 1/2,2.0,10.0,0.0,12.0
IAB1404MSSHL,GRATA COPA  ONDULADA INOXIDABLE 4 1/2,2.0,0.0,0.0,2.0
IAB14207CRKL,DISCO DE LIJA PARA METAL (CUBITRON) 7IN,9.0,0.0,0.0,9.0
IAB1500CSCBH,LIMA ROTATIVA CILINDRICA 1/4 PLG (06MM),7.0,0.0,0.0,7.0
IAB15012SCBH,LIMA ROTATIVA CILINDRICA 1/2 PLG (12MM),6.0,0.0,0.0,6.0
IAB15040SC00,LIJA ROTATIVA CILINDRICA 1 1/2 PLG (40MM) GR60,6.0,0.0,0.0,6.0
IAB1604MSS00,DISCO ZIRCONIO 4 1/2 in G40,0.0,183.0,0.0,183.0
IAB18007SS00,DISCO ZIRCONIO 7 in G80,18.0,174.0,0.0,192.0
IAB210MD0000,PLIEGO DE LIJA MADERA,29.0,0.0,0.0,29.0
IAB23208NN00,PIEDRA ESMERIL DE BANCO 8 PLG,0.0,7.0,0.0,7.0
IAB23310AL00,DISCO DE SIERRA 10 IN ALUMINIO,0.0,4.0,0.0,4.0
IABDIAM00412,DISCO DIAMANTADO 4.1/2 CONTINUO,0.0,17.0,0.0,17.0
IAO0102MPAIN,PLUMON PAINT OLEO MEDIO 2MM AMARILLO,13.0,8.0,0.0,21.0
IAO010AZPLBL,PLUMON DE PIZARRA AZUL,0.0,18.0,0.0,18.0
IAO020LOROLA,LOMO ARCHIVADOR ANCHO ROJO - LAVORO,0.0,18.0,0.0,18.0
IAO030BORPIZ,BORRADOR PIZARRA,6.0,0.0,0.0,6.0
IAO050TNKITC,KIT TONER BROTHER ALTERNATIVO - MAGENTA-CYAN-YELLOW,0.0,2.0,0.0,2.0
IAO07048NN3M,CINTA ENMASCARAR,0.0,8.0,0.0,8.0
IAO0HPT25003,CARTUCHOS TINTA HP-250  MG,0.0,12.0,0.0,12.0
IAO103ANOCAP,ANOTADOR C. APRETADOR METAL/MADERA OF ACRIMET,0.0,7.0,0.0,7.0
IAO105AADURA,PILA DURACELL AA,0.0,4.0,0.0,4.0
IAO110TIJHAN,TIJERA HAND,0.0,2.0,0.0,2.0
IAO130NNNN00,CINTA ADHESIVA ENMASCARAR,0.0,0.0,5.0,5.0
IAO32000AA00,PILA DOBLE AA,0.0,1.0,0.0,1.0
IAO3200AAA00,PILA TRIPLE AAA,7.0,4.0,0.0,11.0
IAO350NNNN11,PLUMON MARCADOR PARA CD NEGRO,4.0,0.0,0.0,4.0
IAO370CART02,RESMA DE PAPEL CARTA BLANCO,0.0,10.0,0.0,10.0
IAO370OBAN02,BANDEJA PORTADOCUMENTO 3 NIVELESO,0.0,1.0,0.0,1.0
IAO370OGUN02,GUILLOTINA 8X8GS,0.0,1.0,0.0,1.0
IAO400CART00,SEPARADOR TAMAÑO CARTA,0.0,2500.0,0.0,2500.0
IAZ32008NNMA,REMACHE TIPO POP 3.2X8MM,0.0,3.0,0.0,3.0
