Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,121,SERVICIOS DE TERCERO,PP,SERVICIO PRUEBAS,SEQQINTE2055,SOPORTE TIPO L,UN,10.0,0.0,0.0,0.0,10.0,2500.0,25000.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : PP,,,,,,nan,,,10.0,0.0,0.0,0.0,10.0,,25000.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 121,,,,,,nan,,,11.0,0.0,0.0,0.0,11.0,,27790.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,AB,ABRASIVOS,IBQ2314MSC00,GRATA COPA ONDULADA ACERO CARBONO PARA ESMERIL DE 4 ½,UN,20.0,0.0,0.0,0.0,20.0,2930.65,58613.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AB,,,,,,nan,,,20.0,0.0,0.0,0.0,20.0,,58613.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21000NNCC,BOQUILLA PLASMA 9-8212 (90-100),UN,50.0,0.0,0.0,0.0,50.0,5150.88,257544.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21000NNCM,BOQUILLA OXICORTE CNC 106-0 (5-10) KOIKE PROPANO,UN,1.0,0.0,0.0,0.0,1.0,8802.68,8803.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21001NNCM,BOQUILLA OXICORTE CNC 106-1 (10-15) KOIKE PROPANO,UN,1.0,0.0,0.0,0.0,1.0,8248.15,8248.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21003NNCM,BOQUILLA OXICORTE CNC 106-3 (30-40) KOIKE PROPANO,UN,1.0,0.0,0.0,0.0,1.0,12867.03,12867.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21010NN00,BOQUILLA PLASMA 9-8253 (100-120),UN,30.0,0.0,0.0,0.0,30.0,5238.28,157148.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21100NNLL,BOQUILLA STARTER CARTRIDGE 9-8213,UN,13.0,0.0,0.0,0.0,13.0,29000.0,377000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ21400NN00,CASQUILLO PROTECTOR 9-8239 / PUNTA DE ARRASTRE 70-100,UN,20.0,0.0,0.0,0.0,20.0,11698.53,233971.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ214825600,CASQUILLO PROTECTOR 9-8256 / PUNTA DE ARRASTRE 100-120,UN,1.0,0.0,0.0,0.0,1.0,15900.0,15900.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ22001NN00,BOQUILLA OXICORTE MANUAL N°1,UN,2.0,0.0,0.0,0.0,2.0,4574.97,9150.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ22006NN00,BOQUILLA OXICORTE MANUAL N°6,UN,9.0,0.0,0.0,0.0,9.0,4171.84,37547.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ23109CRCM,TOBERA CERÁMICA TIG N09,,18.0,0.0,0.0,0.0,18.0,2500.0,45000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ23110CRCM,TOBERA CERÁMICA TIG N10,,18.0,0.0,0.0,0.0,18.0,4000.0,72000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ23216NN00,DIFUSOR MIG 54A PISTOLAR DE SOLDAR ,,107.0,0.0,0.0,0.0,107.0,947.07,101336.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ24016NNCI,TOBERA MIG 16 MM TWECO  - 2362,UN,1.0,0.0,0.0,0.0,1.0,4202.21,4202.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ25124NN00,BOQUILLA 2.4 P/ARCO SUMERGIDO,UN,10.0,0.0,0.0,0.0,10.0,3948.27,39483.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ25300NN00,CARTUCHO DE INICIO 9-8213,UN,6.0,0.0,0.0,0.0,6.0,31390.94,188346.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,BQ,BOQUILLA,IBQ28211NNCC,BOQUILLA PLASMA 9-8211,UN,3.0,0.0,0.0,0.0,3.0,2500.0,7500.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : BQ,,,,,,nan,,,291.0,0.0,0.0,0.0,291.0,,1576044.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,122,SOLDADURAS,SOLDA,SOLDADURAS,ISL9200HSS00,ELECTRODO 316L 3/32in,KG,9.0,0.0,0.0,0.0,9.0,14045.0,126405.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : SOLDA,,,,,,nan,,,9.0,0.0,0.0,0.0,9.0,,126405.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
Total Grupo : 122,,,,,,nan,,,320.0,0.0,0.0,0.0,320.0,,1761062.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AV,ACCESORIO VEHICULO,H100AV000002,CORTA CORRIENTE,UN,1.0,0.0,0.0,0.0,1.0,75000.0,75000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AV,ACCESORIO VEHICULO,H100AV000026,CUÑAS POULIRETANO,UN,4.0,0.0,0.0,0.0,4.0,40000.0,160000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AV,ACCESORIO VEHICULO,H100AV000027,BARRA,UN,1.0,0.0,0.0,0.0,1.0,3840.0,3840.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AV,ACCESORIO VEHICULO,H100AVQUIN17,TRIANGULO REFLECTANTE PARA CAMIONETA,UN,4.0,0.0,0.0,0.0,4.0,4680.0,18720.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AV,,,,,,nan,,,10.0,0.0,0.0,0.0,10.0,,257560.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AZ,ABRAZADERA,IAZ4300MSC00,ABRAZADERA 1/2,UN,8.0,0.0,0.0,0.0,8.0,950.0,7600.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,AZ,ABRAZADERA,IAZABRAZACEI,ABRAZADERA DE ACERO INOX,UN,16.0,0.0,0.0,0.0,16.0,798.0,12768.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : AZ,,,,,,nan,,,24.0,0.0,0.0,0.0,24.0,,20368.0,SM_STOCK CASA MATRIZ.xlsx
